album, song, text
SOUR, hope_ur_ok, "I knew a boy once, when I was small"
SOUR, hope_ur_ok, "A tow-head blond, with eyes of salt"
SOUR, hope_ur_ok, "He played the drum in the marching band"
SOUR, hope_ur_ok, "His parents cared more about the Bible"
SOUR, hope_ur_ok, "Than being good to their own child"
SOUR, hope_ur_ok, "He wore long sleeves 'cause of his dad"
SOUR, hope_ur_ok, ""
SOUR, hope_ur_ok, "And somehow, we fell out of touch"
SOUR, hope_ur_ok, "Hope he took his bad deal and made a royal flush"
SOUR, hope_ur_ok, "Don't know if I'll see you again someday"
SOUR, hope_ur_ok, "But if you're out there, I hope that you're OK"
SOUR, hope_ur_ok, ""
SOUR, hope_ur_ok, "My middle school friend grew up alone"
SOUR, hope_ur_ok, "She raised her brothers on her own"
SOUR, hope_ur_ok, "Her parents hated who she loved"
SOUR, hope_ur_ok, "She couldn't wait to go to college"
SOUR, hope_ur_ok, "She was tired 'cause she was brought"
SOUR, hope_ur_ok, "Into a world where family was merely blood"
SOUR, hope_ur_ok, ""
SOUR, hope_ur_ok, "Does she know how proud I am she was created"
SOUR, hope_ur_ok, "With the courage to unlearn all of their hatred"
SOUR, hope_ur_ok, "We don't talk much but I just gotta say"
SOUR, hope_ur_ok, ""I miss you, and I hope that you're OK.""
SOUR, hope_ur_ok, ""
SOUR, hope_ur_ok, "Address the letters, to the holes in my butterfly wings"
SOUR, hope_ur_ok, "Nothing's forever, nothing's as good as it seems"
SOUR, hope_ur_ok, "And when the clouds won't iron out"
SOUR, hope_ur_ok, "And the monsters creep into your house"
SOUR, hope_ur_ok, "And every door is hard to close"
SOUR, hope_ur_ok, ""
SOUR, hope_ur_ok, "Well, I hope you know how proud I am you were created"
SOUR, hope_ur_ok, "With the courage to unlearn all of their hatred"
SOUR, hope_ur_ok, "God, I hope that you're happier today"
SOUR, hope_ur_ok, "'Cause I love you, and I hope that you're OK"
SOUR, 1_step_forward_3_steps_back, "Called you on the phone today"
SOUR, 1_step_forward_3_steps_back, "Just to ask you how you were"
SOUR, 1_step_forward_3_steps_back, "All I did was speak normally"
SOUR, 1_step_forward_3_steps_back, "Somehow I still struck a nerve"
SOUR, 1_step_forward_3_steps_back, ""
SOUR, 1_step_forward_3_steps_back, "You got me fucked up in the head, boy"
SOUR, 1_step_forward_3_steps_back, "Never doubted myself so much"
SOUR, 1_step_forward_3_steps_back, "Like am I pretty? Am I fun, boy?"
SOUR, 1_step_forward_3_steps_back, "I hate that I gave you power over that kind of stuff"
SOUR, 1_step_forward_3_steps_back, ""
SOUR, 1_step_forward_3_steps_back, "'Cause it's always one step forward and three steps back"
SOUR, 1_step_forward_3_steps_back, "I'm the love of your life until I make you mad"
SOUR, 1_step_forward_3_steps_back, "It's always one step forward and three steps back"
SOUR, 1_step_forward_3_steps_back, "Do you love me, want me, hate me, boy? I don't understand"
SOUR, 1_step_forward_3_steps_back, "No, I don't understand"
SOUR, 1_step_forward_3_steps_back, ""
SOUR, 1_step_forward_3_steps_back, "And maybe in some masochistic way"
SOUR, 1_step_forward_3_steps_back, "I kind of find it all exciting"
SOUR, 1_step_forward_3_steps_back, "Like which lover will I get today?"
SOUR, 1_step_forward_3_steps_back, "Will you walk me to the door or send me home cryin'?"
SOUR, 1_step_forward_3_steps_back, ""
SOUR, 1_step_forward_3_steps_back, "It's one step forward and three steps back"
SOUR, 1_step_forward_3_steps_back, "I'm the love of your life until I make you mad"
SOUR, 1_step_forward_3_steps_back, "It's always one step forward and three steps back"
SOUR, 1_step_forward_3_steps_back, "Do you love me, want me, hate me, boy? I don't understand"
SOUR, 1_step_forward_3_steps_back, ""
SOUR, 1_step_forward_3_steps_back, "No, it's back and forth, did I say something wrong?"
SOUR, 1_step_forward_3_steps_back, "It's back and forth, going over everything I said"
SOUR, 1_step_forward_3_steps_back, "It's back and forth, did I do something wrong?"
SOUR, 1_step_forward_3_steps_back, "It's back and forth, maybe, this is all your fault instead"
SOUR, 1_step_forward_3_steps_back, ""
SOUR, 1_step_forward_3_steps_back, "It's one step forward and three steps back"
SOUR, 1_step_forward_3_steps_back, "And I'd leave you, but the roller coaster's all I've ever had"
SOUR, 1_step_forward_3_steps_back, "Yeah, it's one step forward and three steps back"
SOUR, 1_step_forward_3_steps_back, "Do you love me, want me, hate me, boy?"
SOUR, 1_step_forward_3_steps_back, "I don't understand"
SOUR, 1_step_forward_3_steps_back, "No, I don't understand"
SOUR, deja_vu, "Car rides to Malibu"
